epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
877,16,120,0.012327,20000,13.024802
878,18,138,0.012265,20000,9.435280
879,22,180,0.012204,20000,14.903259
880,15,88,0.012143,20000,11.160309
881,22,176,0.012082,20000,12.223586
882,14,91,0.012021,20000,17.031691
883,15,139,0.011961,20000,14.756317
884,20,145,0.011902,20000,12.509701
885,29,291,0.011842,20000,12.698261
886,7,57,0.011783,20000,12.419382
887,29,249,0.011724,20000,12.026088
888,11,102,0.011665,20000,12.821902
889,25,218,0.011607,20000,11.981377
890,19,156,0.011549,20000,14.816763
891,11,91,0.011491,20000,11.473361
892,15,119,0.011434,20000,11.401506
893,19,138,0.011377,20000,10.132616
894,12,100,0.011320,20000,12.258295
895,23,218,0.011263,20000,12.921924
896,18,133,0.011207,20000,13.262484
897,14,71,0.011151,20000,13.839252
898,18,149,0.011095,20000,14.444228
899,16,141,0.011040,20000,13.960022
900,10,64,0.010984,20000,14.633678
901,13,106,0.010929,20000,9.843639
902,19,181,0.010875,20000,12.301159
903,13,111,0.010820,20000,13.067824
904,22,181,0.010766,20000,12.373118
905,10,56,0.010712,20000,11.516165
906,25,272,0.010659,20000,12.197837
907,30,254,0.010606,20000,12.413727
908,13,94,0.010553,20000,13.179487
909,19,142,0.010500,20000,13.083100
910,36,382,0.010447,20000,14.207656
911,19,153,0.010395,20000,15.644260
912,29,250,0.010343,20000,14.938062
913,19,208,0.010291,20000,12.150815
914,17,134,0.010240,20000,15.273225
915,15,130,0.010189,20000,17.972919
916,22,137,0.010138,20000,12.327208
917,18,131,0.010087,20000,13.518133
918,17,115,0.010037,20000,13.374225
919,24,230,0.010000,20000,13.922625
920,15,113,0.010000,20000,12.677503
921,18,151,0.010000,20000,15.085330
922,2,12,0.010000,20000,10.355071
923,21,201,0.010000,20000,13.493389
924,21,172,0.010000,20000,14.147591
925,8,91,0.010000,20000,12.164003
926,2,21,0.010000,20000,16.717442
927,28,195,0.010000,20000,13.109546
928,8,67,0.010000,20000,13.396388
929,27,296,0.010000,20000,13.711188
930,10,62,0.010000,20000,14.022910
931,20,184,0.010000,20000,14.184864
932,23,190,0.010000,20000,13.585453
933,7,61,0.010000,20000,12.491755
934,9,81,0.010000,20000,14.883826
935,14,136,0.010000,20000,11.435255
936,22,185,0.010000,20000,14.402922
937,9,62,0.010000,20000,10.231115
938,18,154,0.010000,20000,14.999146
939,26,170,0.010000,20000,12.991089
940,11,87,0.010000,20000,14.612229
941,22,199,0.010000,20000,12.877165
942,12,107,0.010000,20000,11.498438
943,15,149,0.010000,20000,13.733478
944,13,96,0.010000,20000,13.357649
945,13,98,0.010000,20000,14.069778
946,15,114,0.010000,20000,13.704444
947,12,86,0.010000,20000,11.574764
948,12,74,0.010000,20000,10.842617
949,20,189,0.010000,20000,12.440813
950,23,181,0.010000,20000,13.013064
951,14,116,0.010000,20000,12.425498
952,19,119,0.010000,20000,10.367970
953,14,96,0.010000,20000,13.200093
954,19,159,0.010000,20000,11.030257
955,23,207,0.010000,20000,11.970140
956,24,239,0.010000,20000,12.059842
957,23,196,0.010000,20000,12.006993
958,15,121,0.010000,20000,12.789669
959,21,169,0.010000,20000,13.496460
960,23,193,0.010000,20000,10.727944
961,15,116,0.010000,20000,11.485419
962,15,90,0.010000,20000,12.656106
963,10,61,0.010000,20000,11.441557
964,12,64,0.010000,20000,10.743595
965,17,117,0.010000,20000,10.500093
966,19,160,0.010000,20000,12.448733
967,27,189,0.010000,20000,12.483988
968,19,185,0.010000,20000,11.279278
969,17,150,0.010000,20000,10.229970
970,2,5,0.010000,20000,10.581491
971,19,166,0.010000,20000,13.380309
972,11,76,0.010000,20000,12.493608
973,22,178,0.010000,20000,11.466883
974,10,87,0.010000,20000,12.364019
975,17,152,0.010000,20000,9.853744
976,16,165,0.010000,20000,10.825603
977,24,163,0.010000,20000,11.492771
978,13,115,0.010000,20000,14.421277
979,11,70,0.010000,20000,9.981419
980,11,98,0.010000,20000,13.863295
981,19,148,0.010000,20000,12.380238
982,11,63,0.010000,20000,12.653849
983,14,94,0.010000,20000,13.814021
984,16,120,0.010000,20000,11.460048
985,8,57,0.010000,20000,16.002266
986,20,147,0.010000,20000,14.294574
987,19,143,0.010000,20000,11.205934
988,11,86,0.010000,20000,16.447355
989,20,158,0.010000,20000,14.397584
990,8,46,0.010000,20000,15.135175
991,12,108,0.010000,20000,11.431491
992,21,204,0.010000,20000,17.836585
993,20,172,0.010000,20000,12.932791
994,24,225,0.010000,20000,14.482063
995,22,187,0.010000,20000,12.543201
996,12,81,0.010000,20000,14.426755
997,9,69,0.010000,20000,10.497980
998,14,111,0.010000,20000,11.545508
999,7,47,0.010000,20000,12.576733
1000,13,106,0.010000,20000,11.562580
1001,18,140,0.010000,20000,11.814778
1002,16,132,0.010000,20000,10.775237
1003,16,102,0.010000,20000,11.994643
1004,19,158,0.010000,20000,13.957705
1005,14,105,0.010000,20000,11.898225
1006,23,197,0.010000,20000,12.504756
1007,26,208,0.010000,20000,11.638199
1008,16,139,0.010000,20000,12.246116
1009,15,118,0.010000,20000,11.259459
1010,17,148,0.010000,20000,13.377460
1011,13,77,0.010000,20000,11.100295
1012,9,70,0.010000,20000,14.204619
1013,9,78,0.010000,20000,9.061206
1014,25,190,0.010000,20000,10.552014
1015,13,97,0.010000,20000,13.179947
1016,20,159,0.010000,20000,9.256650
1017,28,268,0.010000,20000,11.690279
1018,10,56,0.010000,20000,11.932310
1019,8,44,0.010000,20000,11.733891
1020,14,98,0.010000,20000,15.762684
1021,18,155,0.010000,20000,13.091870
1022,16,132,0.010000,20000,11.878430
1023,22,164,0.010000,20000,13.355013
1024,17,158,0.010000,20000,10.011525
1025,8,40,0.010000,20000,14.639689
1026,23,164,0.010000,20000,13.338989
1027,29,303,0.010000,20000,12.485791
1028,5,39,0.010000,20000,16.378294
1029,31,291,0.010000,20000,13.360414
1030,25,171,0.010000,20000,11.910758
1031,21,163,0.010000,20000,13.373983
1032,16,144,0.010000,20000,10.309231
1033,18,144,0.010000,20000,11.210584
1034,26,236,0.010000,20000,12.393765
