epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
947,18,146,0.010000,20000,11.587165
948,20,151,0.010000,20000,10.643345
949,4,24,0.010000,20000,13.997856
950,17,130,0.010000,20000,11.728570
951,16,109,0.010000,20000,9.333206
952,13,96,0.010000,20000,11.945020
953,14,124,0.010000,20000,11.909308
954,10,80,0.010000,20000,13.467043
955,16,116,0.010000,20000,11.516740
956,19,155,0.010000,20000,10.771288
957,20,190,0.010000,20000,11.820406
958,25,239,0.010000,20000,13.415229
959,27,258,0.010000,20000,10.723762
960,15,95,0.010000,20000,12.310669
961,23,186,0.010000,20000,11.489461
962,12,97,0.010000,20000,11.514555
963,17,116,0.010000,20000,10.984619
964,22,152,0.010000,20000,11.905720
965,24,200,0.010000,20000,11.473038
966,19,127,0.010000,20000,11.836983
967,17,131,0.010000,20000,12.184448
968,33,315,0.010000,20000,12.114751
969,10,85,0.010000,20000,10.222720
970,17,107,0.010000,20000,12.744087
971,25,220,0.010000,20000,11.972802
972,12,87,0.010000,20000,13.275977
973,17,112,0.010000,20000,10.438703
974,8,64,0.010000,20000,14.397260
975,20,154,0.010000,20000,10.570439
976,17,130,0.010000,20000,11.246003
977,24,179,0.010000,20000,12.382613
978,9,61,0.010000,20000,12.077800
979,18,174,0.010000,20000,12.998767
980,17,137,0.010000,20000,10.419300
981,8,72,0.010000,20000,11.838345
982,12,81,0.010000,20000,11.865988
983,15,97,0.010000,20000,13.019924
984,7,62,0.010000,20000,14.299488
985,17,141,0.010000,20000,11.318211
986,22,179,0.010000,20000,10.840092
987,22,159,0.010000,20000,13.344132
988,23,254,0.010000,20000,11.909785
989,22,157,0.010000,20000,11.014568
990,12,79,0.010000,20000,12.670771
991,18,135,0.010000,20000,11.392289
992,11,71,0.010000,20000,10.366358
993,20,172,0.010000,20000,12.865577
994,12,97,0.010000,20000,9.477621
995,21,163,0.010000,20000,11.338254
996,18,128,0.010000,20000,14.623073
997,15,126,0.010000,20000,10.140084
998,14,99,0.010000,20000,14.518074
999,13,102,0.010000,20000,12.098698
1000,14,95,0.010000,20000,10.143650
1001,14,122,0.010000,20000,12.181179
1002,16,121,0.010000,20000,11.356488
1003,16,120,0.010000,20000,11.386690
1004,16,113,0.010000,20000,11.813990
1005,14,97,0.010000,20000,13.737364
1006,14,95,0.010000,20000,10.496412
1007,26,191,0.010000,20000,12.697736
1008,9,52,0.010000,20000,12.455271
1009,8,50,0.010000,20000,13.058766
1010,9,74,0.010000,20000,13.036932
1011,17,127,0.010000,20000,10.962548
1012,27,206,0.010000,20000,11.891278
1013,23,183,0.010000,20000,13.095128
1014,10,77,0.010000,20000,14.108035
1015,18,149,0.010000,20000,12.938919
1016,13,96,0.010000,20000,11.149801
1017,12,87,0.010000,20000,12.164534
1018,3,14,0.010000,20000,12.369782
1019,10,65,0.010000,20000,9.675588
1020,27,283,0.010000,20000,13.963041
1021,12,87,0.010000,20000,10.336871
1022,28,236,0.010000,20000,10.203098
1023,19,151,0.010000,20000,10.081916
1024,10,91,0.010000,20000,14.818919
1025,30,237,0.010000,20000,13.424517
1026,16,88,0.010000,20000,11.366943
1027,18,141,0.010000,20000,12.004741
1028,12,78,0.010000,20000,10.535104
1029,18,128,0.010000,20000,12.304186
1030,26,225,0.010000,20000,12.946304
1031,10,90,0.010000,20000,13.300535
1032,17,165,0.010000,20000,10.597164
1033,20,191,0.010000,20000,10.400195
1034,18,132,0.010000,20000,12.965123
1035,15,119,0.010000,20000,13.402255
1036,20,147,0.010000,20000,11.366491
1037,26,256,0.010000,20000,12.892028
1038,24,174,0.010000,20000,12.780675
1039,11,84,0.010000,20000,11.616801
1040,16,120,0.010000,20000,11.889052
1041,16,146,0.010000,20000,11.233072
1042,15,142,0.010000,20000,11.093674
1043,3,16,0.010000,20000,12.717702
1044,28,188,0.010000,20000,10.700276
1045,6,35,0.010000,20000,7.852544
1046,19,144,0.010000,20000,14.068229
1047,15,119,0.010000,20000,14.049920
1048,18,146,0.010000,20000,13.431232
1049,28,199,0.010000,20000,8.992219
1050,8,55,0.010000,20000,11.849623
1051,14,118,0.010000,20000,8.888729
1052,12,111,0.010000,20000,13.989940
1053,10,76,0.010000,20000,11.632684
1054,25,218,0.010000,20000,13.401725
1055,23,167,0.010000,20000,13.581305
1056,14,95,0.010000,20000,11.680225
1057,19,201,0.010000,20000,11.451043
1058,31,254,0.010000,20000,12.235311
1059,8,68,0.010000,20000,12.071158
1060,17,114,0.010000,20000,12.413494
1061,22,162,0.010000,20000,14.833512
1062,12,97,0.010000,20000,12.548734
1063,1,13,0.010000,20000,18.303756
1064,12,69,0.010000,20000,13.717493
1065,13,112,0.010000,20000,14.709164
1066,14,95,0.010000,20000,12.342197
1067,17,115,0.010000,20000,11.958495
1068,18,149,0.010000,20000,13.561340
1069,18,161,0.010000,20000,13.905161
1070,16,129,0.010000,20000,13.884311
1071,12,96,0.010000,20000,13.710578
1072,17,149,0.010000,20000,14.448022
1073,4,30,0.010000,20000,14.487181
1074,12,61,0.010000,20000,15.122297
1075,21,171,0.010000,20000,13.388940
1076,17,140,0.010000,20000,11.849637
1077,6,33,0.010000,20000,12.782268
1078,14,92,0.010000,20000,15.135765
1079,19,152,0.010000,20000,14.769823
1080,4,44,0.010000,20000,11.840099
1081,22,188,0.010000,20000,12.221398
1082,21,185,0.010000,20000,12.072945
1083,29,224,0.010000,20000,12.245821
1084,12,94,0.010000,20000,12.905752
1085,3,28,0.010000,20000,11.142373
1086,16,136,0.010000,20000,13.858614
1087,15,118,0.010000,20000,14.789880
1088,3,32,0.010000,20000,11.252510
1089,17,182,0.010000,20000,14.719070
1090,6,34,0.010000,20000,8.956087
1091,21,160,0.010000,20000,11.878452
1092,17,140,0.010000,20000,12.197758
1093,23,200,0.010000,20000,11.869627
1094,32,241,0.010000,20000,11.930929
1095,19,167,0.010000,20000,12.229093
1096,10,60,0.010000,20000,11.990939
1097,16,138,0.010000,20000,12.685848
1098,19,150,0.010000,20000,11.103736
1099,24,179,0.010000,20000,13.468651
1100,13,89,0.010000,20000,14.539950
1101,27,250,0.010000,20000,12.926412
1102,10,77,0.010000,20000,12.548935
1103,15,100,0.010000,20000,12.118563
1104,18,138,0.010000,20000,13.130516
1105,15,104,0.010000,20000,12.097625
1106,10,73,0.010000,20000,13.788854
1107,8,75,0.010000,20000,15.057749
1108,11,85,0.010000,20000,15.650153
1109,14,115,0.010000,20000,18.721149
1110,16,137,0.010000,20000,11.736638
1111,17,131,0.010000,20000,13.447855
1112,18,148,0.010000,20000,17.390559
1113,25,182,0.010000,20000,12.714250
1114,28,260,0.010000,20000,14.321604
1115,22,185,0.010000,20000,12.555588
1116,24,207,0.010000,20000,11.910131
1117,14,105,0.010000,20000,9.675294
1118,6,58,0.010000,20000,15.160622
1119,17,148,0.010000,20000,10.704124
1120,19,157,0.010000,20000,12.246922
1121,15,124,0.010000,20000,13.091162
1122,10,84,0.010000,20000,12.505949
1123,14,112,0.010000,20000,12.091464
1124,32,233,0.010000,20000,12.947960
1125,22,163,0.010000,20000,10.681081
1126,18,142,0.010000,20000,11.056545
1127,6,40,0.010000,20000,20.487107
1128,20,162,0.010000,20000,11.861331
1129,13,110,0.010000,20000,11.917133
1130,21,178,0.010000,20000,11.495912
1131,17,141,0.010000,20000,11.999396
1132,14,95,0.010000,20000,11.855216
1133,25,195,0.010000,20000,13.270718
1134,20,181,0.010000,20000,13.057353
1135,22,184,0.010000,20000,10.609549
1136,21,195,0.010000,20000,12.843101
1137,25,257,0.010000,20000,11.139269
1138,29,277,0.010000,20000,12.637667
1139,23,186,0.010000,20000,9.508528
1140,18,120,0.010000,20000,10.339002
1141,21,142,0.010000,20000,9.998922
1142,20,161,0.010000,20000,11.480070
1143,8,83,0.010000,20000,10.240403
1144,22,195,0.010000,20000,11.113237
1145,13,123,0.010000,20000,11.184964
1146,10,85,0.010000,20000,9.658001
1147,25,232,0.010000,20000,11.914696
1148,11,81,0.010000,20000,12.588773
1149,21,163,0.010000,20000,11.594313
1150,15,137,0.010000,20000,11.064848
1151,14,129,0.010000,20000,9.423862
1152,24,196,0.010000,20000,11.649231
1153,23,196,0.010000,20000,10.879869
1154,20,166,0.010000,20000,13.116963
1155,22,200,0.010000,20000,13.684291
1156,2,15,0.010000,20000,15.722536
1157,10,76,0.010000,20000,12.027862
1158,14,117,0.010000,20000,11.489486
1159,24,201,0.010000,20000,10.277536
1160,20,151,0.010000,20000,11.174834
1161,13,96,0.010000,20000,11.782307
1162,20,163,0.010000,20000,12.779783
1163,22,172,0.010000,20000,11.849989
1164,11,96,0.010000,20000,10.839809
1165,16,108,0.010000,20000,12.237249
1166,10,57,0.010000,20000,9.789049
1167,15,112,0.010000,20000,11.252409
1168,16,138,0.010000,20000,13.069865
1169,14,86,0.010000,20000,12.539964
1170,22,185,0.010000,20000,13.002125
1171,13,118,0.010000,20000,12.486284
1172,19,167,0.010000,20000,15.060812
1173,14,119,0.010000,20000,12.119632
1174,16,123,0.010000,20000,11.369010
1175,17,123,0.010000,20000,13.566054
1176,11,85,0.010000,20000,13.250755
1177,18,177,0.010000,20000,13.283352
1178,18,137,0.010000,20000,13.210245
1179,17,128,0.010000,20000,11.437068
1180,21,160,0.010000,20000,12.878269
1181,10,91,0.010000,20000,10.134147
1182,16,87,0.010000,20000,11.855701
1183,16,114,0.010000,20000,12.874415
1184,21,215,0.010000,20000,11.844246
1185,22,146,0.010000,20000,13.907499
1186,23,219,0.010000,20000,12.486928
1187,18,118,0.010000,20000,11.851969
1188,17,124,0.010000,20000,12.962270
1189,15,112,0.010000,20000,12.741206
1190,11,109,0.010000,20000,11.226678
1191,13,105,0.010000,20000,10.935778
1192,19,129,0.010000,20000,12.712647
1193,14,111,0.010000,20000,11.198250
1194,16,129,0.010000,20000,13.096991
1195,20,138,0.010000,20000,14.030781
1196,22,174,0.010000,20000,13.974500
1197,20,184,0.010000,20000,11.141710
1198,21,209,0.010000,20000,10.753729
1199,13,95,0.010000,20000,13.125094
1200,20,193,0.010000,20000,9.899836
1201,21,174,0.010000,20000,10.984945
1202,12,94,0.010000,20000,12.030682
1203,22,195,0.010000,20000,11.637246
1204,20,163,0.010000,20000,11.628619
1205,22,180,0.010000,20000,11.380543
1206,17,137,0.010000,20000,13.032959
1207,15,108,0.010000,20000,12.034127
1208,10,96,0.010000,20000,11.015064
1209,22,185,0.010000,20000,11.062963
1210,23,219,0.010000,20000,11.719518
1211,25,247,0.010000,20000,11.693547
1212,20,138,0.010000,20000,12.644446
1213,19,160,0.010000,20000,10.869970
1214,14,112,0.010000,20000,13.526577
1215,10,89,0.010000,20000,10.668265
1216,23,195,0.010000,20000,10.941912
1217,13,79,0.010000,20000,13.503282
1218,7,41,0.010000,20000,12.172706
1219,24,183,0.010000,20000,12.706507
1220,20,160,0.010000,20000,12.846580
1221,8,60,0.010000,20000,12.560449
1222,29,256,0.010000,20000,12.338014
1223,19,138,0.010000,20000,12.783252
1224,21,169,0.010000,20000,12.343797
1225,17,136,0.010000,20000,11.345566
1226,18,157,0.010000,20000,13.034322
1227,23,195,0.010000,20000,11.538945
1228,34,320,0.010000,20000,14.179075
1229,21,203,0.010000,20000,11.930500
1230,19,138,0.010000,20000,11.916412
1231,18,157,0.010000,20000,13.315632
1232,24,191,0.010000,20000,12.811179
1233,14,98,0.010000,20000,13.607124
1234,6,41,0.010000,20000,13.026736
1235,8,53,0.010000,20000,11.172586
1236,23,195,0.010000,20000,14.536434
1237,18,110,0.010000,20000,12.632267
1238,9,85,0.010000,20000,9.009010
1239,18,155,0.010000,20000,12.933514
1240,27,216,0.010000,20000,11.676349
1241,15,134,0.010000,20000,9.430660
1242,23,211,0.010000,20000,11.021852
1243,19,171,0.010000,20000,10.877746
1244,14,111,0.010000,20000,11.905386
1245,24,215,0.010000,20000,11.442052
1246,0,8,0.010000,20000,5.982327
1247,17,157,0.010000,20000,10.982927
1248,28,267,0.010000,20000,10.879103
1249,17,144,0.010000,20000,12.046905
1250,3,23,0.010000,20000,16.974042
1251,15,118,0.010000,20000,12.100114
1252,14,104,0.010000,20000,11.576495
1253,23,160,0.010000,20000,12.409055
1254,13,112,0.010000,20000,10.506081
1255,10,97,0.010000,20000,11.433356
1256,26,241,0.010000,20000,12.210210
1257,13,95,0.010000,20000,8.583189
